,is_pick,hero_id,team,order,ord,match_id,team_id
0,False,63,Team Liquid,0,0,5490431444,2163
1,False,110,Team Secret,1,1,5490431444,1838315
2,False,126,Team Liquid,2,2,5490431444,2163
3,False,106,Team Secret,3,3,5490431444,1838315
4,False,66,Team Liquid,4,4,5490431444,2163
5,False,20,Team Secret,5,5,5490431444,1838315
6,False,58,Team Liquid,6,6,5490431444,2163
7,False,111,Team Secret,7,7,5490431444,1838315
8,True,83,Team Liquid,8,8,5490431444,2163
9,True,65,Team Secret,9,9,5490431444,1838315
10,True,107,Team Secret,10,10,5490431444,1838315
11,True,39,Team Liquid,11,11,5490431444,2163
12,False,92,Team Liquid,12,12,5490431444,2163
13,False,93,Team Secret,13,13,5490431444,1838315
14,True,13,Team Secret,14,14,5490431444,1838315
15,True,87,Team Liquid,15,15,5490431444,2163
16,True,23,Team Secret,16,16,5490431444,1838315
17,True,80,Team Liquid,17,17,5490431444,2163
18,False,102,Team Secret,18,18,5490431444,1838315
19,False,95,Team Liquid,19,19,5490431444,2163
20,True,120,Team Liquid,20,20,5490431444,2163
21,True,61,Team Secret,21,21,5490431444,1838315
22,False,106,Team Secret,0,0,5490337091,1838315
23,False,126,Team Liquid,1,1,5490337091,2163
24,False,110,Team Secret,2,2,5490337091,1838315
25,False,63,Team Liquid,3,3,5490337091,2163
26,False,20,Team Secret,4,4,5490337091,1838315
27,False,65,Team Liquid,5,5,5490337091,2163
28,False,111,Team Secret,6,6,5490337091,1838315
29,False,13,Team Liquid,7,7,5490337091,2163
30,True,7,Team Secret,8,8,5490337091,1838315
31,True,90,Team Liquid,9,9,5490337091,2163
32,True,51,Team Liquid,10,10,5490337091,2163
33,True,120,Team Secret,11,11,5490337091,1838315
34,False,4,Team Secret,12,12,5490337091,1838315
35,False,70,Team Liquid,13,13,5490337091,2163
36,True,39,Team Liquid,14,14,5490337091,2163
37,True,66,Team Secret,15,15,5490337091,1838315
38,True,99,Team Liquid,16,16,5490337091,2163
39,True,10,Team Secret,17,17,5490337091,1838315
40,False,23,Team Liquid,18,18,5490337091,2163
41,False,77,Team Secret,19,19,5490337091,1838315
42,True,53,Team Secret,20,20,5490337091,1838315
43,True,98,Team Liquid,21,21,5490337091,2163
44,False,111,Nigma,0,0,5488049930,7554697
45,False,91,Team Liquid,1,1,5488049930,2163
46,False,20,Nigma,2,2,5488049930,7554697
47,False,82,Team Liquid,3,3,5488049930,2163
48,False,77,Nigma,4,4,5488049930,7554697
49,False,53,Team Liquid,5,5,5488049930,2163
50,False,106,Nigma,6,6,5488049930,7554697
51,False,38,Team Liquid,7,7,5488049930,2163
52,True,110,Nigma,8,8,5488049930,7554697
53,True,128,Team Liquid,9,9,5488049930,2163
54,True,107,Team Liquid,10,10,5488049930,2163
55,True,65,Nigma,11,11,5488049930,7554697
56,False,4,Nigma,12,12,5488049930,7554697
57,False,62,Team Liquid,13,13,5488049930,2163
58,True,120,Team Liquid,14,14,5488049930,2163
59,True,21,Nigma,15,15,5488049930,7554697
60,True,80,Team Liquid,16,16,5488049930,2163
61,True,99,Nigma,17,17,5488049930,7554697
62,False,36,Team Liquid,18,18,5488049930,2163
63,False,39,Nigma,19,19,5488049930,7554697
64,True,70,Nigma,20,20,5488049930,7554697
65,True,93,Team Liquid,21,21,5488049930,2163
66,False,111,Nigma,0,0,5487987325,7554697
67,False,91,Team Liquid,1,1,5487987325,2163
68,False,20,Nigma,2,2,5487987325,7554697
69,False,38,Team Liquid,3,3,5487987325,2163
70,False,77,Nigma,4,4,5487987325,7554697
71,False,53,Team Liquid,5,5,5487987325,2163
72,False,106,Nigma,6,6,5487987325,7554697
73,False,82,Team Liquid,7,7,5487987325,2163
74,True,110,Nigma,8,8,5487987325,7554697
75,True,30,Team Liquid,9,9,5487987325,2163
76,True,9,Team Liquid,10,10,5487987325,2163
77,True,65,Nigma,11,11,5487987325,7554697
78,False,4,Nigma,12,12,5487987325,7554697
79,False,1,Team Liquid,13,13,5487987325,2163
80,True,17,Team Liquid,14,14,5487987325,2163
81,True,21,Nigma,15,15,5487987325,7554697
82,True,63,Team Liquid,16,16,5487987325,2163
83,True,62,Nigma,17,17,5487987325,7554697
84,False,109,Team Liquid,18,18,5487987325,2163
85,False,102,Nigma,19,19,5487987325,7554697
86,True,36,Nigma,20,20,5487987325,7554697
87,True,28,Team Liquid,21,21,5487987325,2163
88,False,111,Nigma,0,0,5487920183,7554697
89,False,91,Team Liquid,1,1,5487920183,2163
90,False,80,Nigma,2,2,5487920183,7554697
91,False,38,Team Liquid,3,3,5487920183,2163
92,False,65,Nigma,4,4,5487920183,7554697
93,False,53,Team Liquid,5,5,5487920183,2163
94,False,106,Nigma,6,6,5487920183,7554697
95,False,82,Team Liquid,7,7,5487920183,2163
96,True,110,Nigma,8,8,5487920183,7554697
97,True,20,Team Liquid,9,9,5487920183,2163
98,True,9,Team Liquid,10,10,5487920183,2163
99,True,77,Nigma,11,11,5487920183,7554697
100,False,23,Nigma,12,12,5487920183,7554697
101,False,21,Team Liquid,13,13,5487920183,2163
102,True,120,Team Liquid,14,14,5487920183,2163
103,True,121,Nigma,15,15,5487920183,7554697
104,True,4,Team Liquid,16,16,5487920183,2163
105,True,17,Nigma,17,17,5487920183,7554697
106,False,40,Team Liquid,18,18,5487920183,2163
107,False,39,Nigma,19,19,5487920183,7554697
108,True,7,Nigma,20,20,5487920183,7554697
